section,title,url,pdf_path,status,erro
Cadastros Gerais Custos,Custos Unitários do Item - CS0102,https://tdn.totvs.com.br/pages/releaseview.action?pageId=940301375,PDFs_TDN\Cadastros Gerais Custos\DT CS0102 Consulta Histórico - Linha Datasul - TDN.pdf,OK,
Cadastros Gerais Custos,Gerador/Importador de arquivo para Custos Históricos - CS0102C,https://tdn.totvs.com.br/pages/releaseview.action?pageId=928970752,PDFs_TDN\Cadastros Gerais Custos\Gerador Importador de arquivo para Custos Históricos - CS0102C - Linha Datasul - TDN.pdf,OK,
Cadastros Gerais Custos,Operações Externas do Item - CS0103,https://tdn.totvs.com.br/pages/releaseview.action?pageId=240299974,PDFs_TDN\Cadastros Gerais Custos\Operações Externas do Item - CS0103 - Linha Datasul - TDN.pdf,OK,
Cadastros Gerais Custos,Operações Externas do Roteiro de Fabricação - CS0108,https://tdn.totvs.com.br/pages/releaseview.action?pageId=240301263,PDFs_TDN\Cadastros Gerais Custos\Operações Externas do Roteiro de Fabricação - CS0108 - Linha Datasul - TDN.pdf,OK,
Cadastros Gerais Custos,Parâmetros de Custos - CS0104,https://tdn.totvs.com.br/pages/releaseview.action?pageId=240298541,PDFs_TDN\Cadastros Gerais Custos\Parâmetros de Custos - CS0104 - Linha Datasul - TDN.pdf,OK,
Processo de Custos por Centro de Custo - MCS,Custos Horários por Centro de Custos - CS0101,https://tdn.totvs.com.br/pages/releaseview.action?pageId=240301661,PDFs_TDN\Processo de Custos por Centro de Custo - MCS\Custos Horários por Centro de Custos - CS0101 - Linha Datasul - TDN.pdf,OK,
Processo de Custos por Centro de Custo - MCS,Importação de Custo por Centro de Custo - CS0110,https://tdn.totvs.com.br/pages/releaseview.action?pageId=240301859,PDFs_TDN\Processo de Custos por Centro de Custo - MCS\Importação de Custo por Centro de Custo - CS0110 - Linha Datasul - TDN.pdf,OK,
Processo de Custos por Centro de Custo - MCS,Integração Custos X Contabilidade - CS0111,https://tdn.totvs.com.br/pages/releaseview.action?pageId=240302003,PDFs_TDN\Processo de Custos por Centro de Custo - MCS\Integração Custos X Contabilidade - CS0111 - Linha Datasul - TDN.pdf,OK,
Processo de Custos por Centro de Custo - MCS,Integração Custos X Contabilidade - CS0404,https://tdn.totvs.com.br/pages/releaseview.action?pageId=240302405,PDFs_TDN\Processo de Custos por Centro de Custo - MCS\Integração Custos X Contabilidade - CS0404 - Linha Datasul - TDN.pdf,OK,
Processo de Custos por Centro de Custo - MCS,Manutenção do Centro de Custo X Conta Contábil - CS0109,https://tdn.totvs.com.br/pages/releaseview.action?pageId=240301721,PDFs_TDN\Processo de Custos por Centro de Custo - MCS\Manutenção do Centro de Custo X Conta Contábil - CS0109 - Linha Datasul - TDN.pdf,OK,
