"Old","New","When"
"GFE - 18592489 DMANAPB1-11792 DT Suportabilidade Natureza Rendimento - Linha Datasul - TDN.pdf","18592489 DMANAPB1-11792 DT Suportabilidade Natureza Rendimento - Linha Datasul - TDN.pdf","30/10/2025 11:54:21"
"GFE - 18592489 DMANAPB1-14908 DT Suportabilidade Natureza Rendimento - Linha Datasul - TDN.pdf","18592489 DMANAPB1-14908 DT Suportabilidade Natureza Rendimento - Linha Datasul - TDN.pdf","30/10/2025 11:54:21"
"GFE - 20842083 DMANADVEN-22880 - Relatório Gerencial de Pedidos - Ajustar a identificação de pedidos com_sem bonificação - Linha Datasul - TDN.pdf","20842083 DMANADVEN-22880 - Relatório Gerencial de Pedidos - Ajustar a identificação de pedidos com_sem bonificação - Linha Datasul - TDN.pdf","30/10/2025 11:54:21"
"GFE - 22481943 DMANACRTES1-16304 DT Planilhas de Cálculo do APL - Linha Datasul - TDN.pdf","22481943 DMANACRTES1-16304 DT Planilhas de Cálculo do APL - Linha Datasul - TDN.pdf","30/10/2025 11:54:21"
"GFE - 22613591 DMANACRTES1-16437 DT Cálculo incorreto da variação cambial da Conta Corrente - Linha Datasul - TDN.pdf","22613591 DMANACRTES1-16437 DT Cálculo incorreto da variação cambial da Conta Corrente - Linha Datasul - TDN.pdf","30/10/2025 11:54:21"
"GFE - 22919707 DMANACRTES1-16535 DT LENTIDÃO NO CANCELAMENTO DE CONCILIAÇÃO DE CONTA CORRENTE - Linha Datasul - TDN.pdf","22919707 DMANACRTES1-16535 DT LENTIDÃO NO CANCELAMENTO DE CONCILIAÇÃO DE CONTA CORRENTE - Linha Datasul - TDN.pdf","30/10/2025 11:54:21"
"GFE - 23276156 DMANACRTES1-16771 DT CMG706AA Erro na Conciliação Automática Analítico - Linha Datasul - TDN.pdf","23276156 DMANACRTES1-16771 DT CMG706AA Erro na Conciliação Automática Analítico - Linha Datasul - TDN.pdf","30/10/2025 11:54:21"
"GFE - 23355791 DMANACRTES1-16799 DT CMG700AA gerando valor incorreto na conta de mútuo - Linha Datasul - TDN.pdf","23355791 DMANACRTES1-16799 DT CMG700AA gerando valor incorreto na conta de mútuo - Linha Datasul - TDN.pdf","30/10/2025 11:54:21"
"GFE - 23427666 DMANACRTES1-16867 DT APL318 Apresentando diferença entre Moedas - Linha Datasul - TDN.pdf","23427666 DMANACRTES1-16867 DT APL318 Apresentando diferença entre Moedas - Linha Datasul - TDN.pdf","30/10/2025 11:54:21"
"GFE - 23536561 DMANCON1-20597 DT - FAS309AA - Relatório Razão Auxiliar - Linha Datasul - TDN.pdf","23536561 DMANCON1-20597 DT - FAS309AA - Relatório Razão Auxiliar - Linha Datasul - TDN.pdf","30/10/2025 11:54:21"
"GFE - 23580838 DMANACRTES1-16918 DT Cálculo de correção e resgate de aplicações de Fundos de Investimento com come-cotas e incidência de IOF - Linha Datasul - TDN.pdf","23580838 DMANACRTES1-16918 DT Cálculo de correção e resgate de aplicações de Fundos de Investimento com come-cotas e incidência de IOF - Linha Datasul - TDN.pdf","30/10/2025 11:54:21"
"GFE - 23613022 DMANCON1-20403 DT - Erro seleção todos Centro de Custo via checkbox no Inventário Ativo Fixo - Linha Datasul - TDN.pdf","23613022 DMANCON1-20403 DT - Erro seleção todos Centro de Custo via checkbox no Inventário Ativo Fixo - Linha Datasul - TDN.pdf","30/10/2025 11:54:21"
