section,title,url,pdf_path,status,erro
Cadastros - MCP,Alteração de Família - CP0104,https://tdn.totvs.com.br/pages/releaseview.action?pageId=244723701,PDFs_TDN\Cadastros - MCP\Alteração de Família - CP0104 - Linha Datasul - TDN.pdf,OK,
Cadastros - MCP,Alteração de Item - CP0105,https://tdn.totvs.com.br/pages/releaseview.action?pageId=244726921,PDFs_TDN\Cadastros - MCP\Alteração de Item - CP0105 - Linha Datasul - TDN.pdf,OK,
Cadastros - MCP,Alteração do Tipo de Formulação - CP0108,https://tdn.totvs.com.br/pages/releaseview.action?pageId=268577260,PDFs_TDN\Cadastros - MCP\Alteração do Tipo de Formulação - CP0108 - Linha Datasul - TDN.pdf,OK,
Cadastros Gerais - MCP,Consulta Família - CP0107,https://tdn.totvs.com.br/pages/releaseview.action?pageId=244727520,PDFs_TDN\Cadastros Gerais - MCP\Consulta Família - CP0107 - Linha Datasul - TDN.pdf,OK,
Formulário Apontamento Mobile - html.mobileForms,Manutenção Baixa Reservas (Detalhada) - CP0337,https://tdn.totvs.com.br/pages/releaseview.action?pageId=747318833,PDFs_TDN\Formulário Apontamento Mobile - html.mobileForms\16528880 DMANUFATURA-8541 DT CP0337 Apontamento Parcial - Linha Datasul - TDN.pdf,OK,
Formulário Apontamento Mobile - html.mobileForms,Manutenção de Alocação Ordens Produção - CP0319,https://tdn.totvs.com.br/pages/releaseview.action?pageId=745121220,PDFs_TDN\Formulário Apontamento Mobile - html.mobileForms\DT CP0319 Substituição Componentes OCX - Linha Datasul - TDN.pdf,OK,
Formulário Apontamento Mobile - html.mobileForms,Manutenção Estabelecimento Manufatura - CP0102,https://tdn.totvs.com.br/pages/releaseview.action?pageId=244727906,PDFs_TDN\Formulário Apontamento Mobile - html.mobileForms\Manutenção Estabelecimento Manufatura - CP0102 - Linha Datasul - TDN.pdf,OK,
Parametrização do Controle da Produção para uso do Fator de Concentração PPM,Parâmetros do Controle da Produção - CP0106,https://tdn.totvs.com.br/pages/releaseview.action?pageId=833920584,PDFs_TDN\Parametrização do Controle da Produção para uso do Fator de Concentração PPM\DT Alteração da mensagem 4336 no programa CP0106 - Linha Datasul - TDN.pdf,OK,
Apontamento de Produção - productionappointment,Finalização OPs por Faixa - CP0322,https://tdn.totvs.com.br/pages/releaseview.action?pageId=285652373,PDFs_TDN\Apontamento de Produção - productionappointment\Finalização OPs por Faixa - CP0322 - Linha Datasul - TDN.pdf,OK,
Gerar Log XML TOTVS MES - cplogxml,"Importação de Ordens, Reservas e Operações - CP0913",https://tdn.totvs.com.br/pages/releaseview.action?pageId=268578436,"PDFs_TDN\Gerar Log XML TOTVS MES - cplogxml\Importação de Ordens, Reservas e Operações - CP0913 - Linha Datasul - TDN.pdf",OK,
